Channel Id,Channel Url,Channel Title
UCGlA-pNFzcv0ZIqS3F6C4-A,http://www.youtube.com/channel/UCGlA-pNFzcv0ZIqS3F6C4-A,Armin Nemeth
UCGo22VEt5enuQHeQTXcPuzw,http://www.youtube.com/channel/UCGo22VEt5enuQHeQTXcPuzw,Exploring the Simulation
UCGq3OyOoLPYj4Oyk1DWnKxQ,http://www.youtube.com/channel/UCGq3OyOoLPYj4Oyk1DWnKxQ,Railways Explained
UCHC4G4X-OR5WkY-IquRGa3Q,http://www.youtube.com/channel/UCHC4G4X-OR5WkY-IquRGa3Q,Tom Scott plus
UCHL9bfHTxCMi-7vfxQ-AYtg,http://www.youtube.com/channel/UCHL9bfHTxCMi-7vfxQ-AYtg,Abroad in Japan
UCHYoe8kQ-7Gn9ASOlmI0k6Q,http://www.youtube.com/channel/UCHYoe8kQ-7Gn9ASOlmI0k6Q,The Food Theorists
UCHdluULl5c7bilx1x1TGzJQ,http://www.youtube.com/channel/UCHdluULl5c7bilx1x1TGzJQ,Feature History
UCHhnS5M4EeNduNu5vP80L0w,http://www.youtube.com/channel/UCHhnS5M4EeNduNu5vP80L0w,Moon Channel
UCHiJHOoJkjGr28MQb7TzYcg,http://www.youtube.com/channel/UCHiJHOoJkjGr28MQb7TzYcg,Paige Saunders
UCHmDySLF9yQVC1oTwZKWtSQ,http://www.youtube.com/channel/UCHmDySLF9yQVC1oTwZKWtSQ,Alex Webb
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCI6ozOSnltq6mx5pcr0qSLA,http://www.youtube.com/channel/UCI6ozOSnltq6mx5pcr0qSLA,CanadianComputerCollector
UCIFpfSTM-3X3NpwVoh7VviQ,http://www.youtube.com/channel/UCIFpfSTM-3X3NpwVoh7VviQ,Airspace
UCIa6gVS7sStLPruv3mhoXQg,http://www.youtube.com/channel/UCIa6gVS7sStLPruv3mhoXQg,Leo Succulent in English 
UCImIJxyJRQeAmh8F8J2vV0Q,http://www.youtube.com/channel/UCImIJxyJRQeAmh8F8J2vV0Q,Ankur Shah
UCIwh6_wAbswNuPbRYM4gtww,http://www.youtube.com/channel/UCIwh6_wAbswNuPbRYM4gtww,Urbaburble
UCIxwcmTDBLniq6m7T3p_30Q,http://www.youtube.com/channel/UCIxwcmTDBLniq6m7T3p_30Q,Storytime With Jeff
